,geo,text,user,location,created_at
122,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",cok_erika,,2021-02-28 23:03:52
123,,So um ... this seems concerning.,mkonda,"Dallas, TX",2021-02-28 23:03:34
124,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",emiliobolles,,2021-02-28 23:03:15
125,,  Goff: Aucklanders must get Covid vaccine first — city loses $30m a day in lockdown  …,NatalieFinlay4,,2021-02-28 23:03:03
126,,"Covid 19 coronavirus vaccine: Comedian #MikeKing blasts 'feral self-righteous' zealots in debate, via … ",gruesomegull,world citizen,2021-02-28 23:02:58
127,,"  More than 20 million people across the United Kingdom have now received their first COVID-19 vaccine shot, data showed…",baymenh,Vaal Triangle ,2021-02-28 23:02:56
128,,  Can Employees Be Forced To Take The Covid-19 Vaccine? - Coronavirus (COVID-19) - Canada Interesting article ⁦…,MarioP0505,"Central Alberta, Canada",2021-02-28 23:02:41
129,, Distribution of the first single-dose Covid-19 vaccine is expected to begin quickly ,opulent_usa,"Houston, TX",2021-02-28 23:02:07
130,,"486,000 Wisconsinites have received both doses of COVID-19 vaccine; state reports new 464 cases ",journalsentinel,"Milwaukee, WI",2021-02-28 23:02:05
131,,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ",dickinsonpress,"Dickinson, North Dakota",2021-02-28 23:02:03
132,,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…",lindsaylwallace,"New York, USA",2021-02-28 23:01:49
133,,"Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCI… ",smickable,Los Angeles,2021-02-28 23:01:34
134,,"  Ironically, many in the underserved communities that now receive preferential FEMA treatme… ",CymioApps,United States,2021-02-28 23:01:25
135,,The U.S. Food and Drug Administration granted emergency-use authorization to Johnson &amp; Johnson’s single-dose COVID-… ,baltimoresun,"Baltimore, Maryland",2021-02-28 23:01:03
136,,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Wisconsin, where vaccines are being… ",superiortelegra,,2021-02-28 23:01:03
137,,  City sites continue to prioritize second doses and will offer only a limited number of first doses throughout the week.Vis…,StewartTVNews,"Los Angeles, CA",2021-02-28 23:01:01
